Bonnie and Clyde (1967)|4.071428571428571
Murder on a Sunday Morning (Un coupable idéal) (2001)|3.5
Mad Max (1979)|3.486842105263158
Earth (2007)|3.5
Underworld (2003)|3.5
Rubber (2010)|3.75
Legal Eagles (1986)|2.625
Young Adult (2011)|2.5
Slither (2006)|3.0
Spirited Away (Sen to Chihiro no kamikakushi) (2001)|4.160919540229885
Closely Watched Trains (Ostre sledované vlaky) (1966)|4.0
Angst  (1983)|3.5
Underworld: Blood Wars (2016)|3.0
Pervert's Guide to Ideology, The (2012)|3.5
Proof (1991)|0.0
Six Days Seven Nights (1998)|2.84375
Cannibal Holocaust (1980)|2.6666666666666665
Begin Again (2013)|4.0
Everybody's Famous! (Iedereen beroemd!) (2000)|2.0
Welcome to the Sticks (Bienvenue chez les Ch'tis) (2008)|4.5
I Want to Live! (1958)|3.0
Up Close and Personal (1996)|3.5
Space Truckers (1996)|2.0
Under Siege 2: Dark Territory (1995)|2.7333333333333334
Blind Swordsman: Zatoichi, The (Zatôichi) (2003)|3.9583333333333335
Penny Serenade (1941)|4.0
Cop and ½ (1993)|1.5
Rize (2005)|3.5
Last Legion, The (2007)|3.0
Split (2017)|3.4166666666666665
Kate & Leopold (2001)|3.235294117647059
Villain (1971)|5.0
Angel Heart (1987)|3.0
Siege, The (1998)|2.8076923076923075
Children of Huang Shi, The (2008)|3.5
Visit, The (2000)|2.0
Godzilla vs. Mothra (Mosura tai Gojira) (1964)|2.0
Last Shift (2014)|4.0
Dilemma, The (2011)|2.5
Other Sister, The (1999)|3.3333333333333335
Doctor Who: The Runaway Bride (2007)|4.0
Exit Wounds (2001)|2.75
Kiss me Kismet (2006)|2.5
With Honors (1994)|3.0
It Happened on Fifth Avenue (1947)|4.5
Congo (1995)|2.8771929824561404
Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007)|4.1
Career Girls (1997)|4.333333333333333
Frequently Asked Questions About Time Travel (2009)|3.6
On a Clear Day (2005)|2.0
Stepford Wives, The (1975)|3.1818181818181817
Invisible Man, The (1933)|3.5
Wendigo (2001)|2.5
Death Smiles on a Murderer (1973)|2.0
Lords of Salem, The (2012)|2.5
New York Stories (1989)|3.125
Grosse Pointe Blank (1997)|3.610169491525424
Margot at the Wedding (2007)|3.0
Joe Rogan: Live (2006)|4.0
Michael Clayton (2007)|3.911764705882353
Terminal Velocity (1994)|2.75
Yes Men, The (2003)|3.75
20,000 Days on Earth (2014)|4.0
Big Lebowski, The (1998)|3.94811320754717
Strangers with Candy (2005)|2.5
Ricky Gervais Live 3: Fame (2007)|3.0
Snow White and the Huntsman (2012)|2.8333333333333335
Scout, The (1994)|2.3333333333333335
Trial and Error (1997)|2.25
Just Married (2003)|2.8125
Rush Hour 3 (2007)|2.7
The Hunger Games (2012)|3.4537037037037037
The Boy Next Door (2015)|1.0
Dragonheart 3: The Sorcerer's Curse (2015)|4.0
Nature Calls (2012)|1.5
Bill Burr: Walk Your Way Out (2017)|4.0
Limey, The (1999)|3.892857142857143
Hype! (1996)|5.0
Withnail & I (1987)|3.857142857142857
Drop Dead Gorgeous (1999)|3.2
Little Murders (1971)|5.0
Species (1995)|2.688888888888889
American Pie (1999)|3.383495145631068
Show Me Love (Fucking Åmål) (1998)|3.8125
Element of Crime, The (Forbrydelsens Element) (1984)|4.0
