1|1676|3.0|5.0|1047422418
1|3729|5.0|5.0|1062275998
1|2470|5.0|2.0|1105998691
1|1253|-1.0|1.0|964991887
1|2846|-1.0|4.0|964990746
1|4587|-1.0|2.0|964984283
1|26547|-1.0|1.0|964990069
1|1876|-1.0|1.0|964986049
1|4296|-1.0|1.0|964992372
1|103543|-1.0|3.0|964988868
1|6660|-1.0|3.0|964984574
1|2010|-1.0|3.0|964990597
1|141836|-1.0|1.0|964991543
1|101962|-1.0|3.0|964986806
1|60126|-1.0|5.0|964990744
1|4251|-1.0|1.0|964984328
1|114818|-1.0|3.0|964989736
1|109633|-1.0|5.0|964989559
1|2495|-1.0|2.0|964991808
1|3769|-1.0|5.0|964990660
1|8610|-1.0|4.0|964985072
1|4310|-1.0|4.0|964987267
1|2314|-1.0|5.0|964985395
1|4533|-1.0|2.0|964984621
1|26472|-1.0|1.0|964991602
1|193571|-1.0|1.0|964987015
1|6598|-1.0|2.0|964986229
1|4756|-1.0|2.0|964988423
1|5348|-1.0|1.0|964988335
1|168248|-1.0|2.0|964988834
1|5471|-1.0|4.0|964986493
1|31184|-1.0|2.0|964988302
1|880|-1.0|1.0|964989738
2|60069|-1.0|3.0|1445715370
2|5528|-1.0|5.0|1445716624
2|62439|-1.0|3.0|1445722581
2|49910|-1.0|3.0|1445720345
2|7109|-1.0|5.0|1445724143
2|6070|-1.0|4.0|1445715798
2|102165|-1.0|4.0|1445716651
2|2453|-1.0|3.0|1445722944
2|139130|-1.0|1.0|1445716092
3|1275|3.5|5.0|1404503700
3|1263|1.0|5.0|1579467124
3|914|1.0|4.0|1311305122
3|3024|4.5|1.0|1590697648
3|2288|4.0|4.0|1351012565
3|81191|-1.0|4.0|1306466232
3|1957|-1.0|5.0|1306471767
3|80831|-1.0|4.0|1306468931
3|7457|-1.0|3.0|1306465543
3|2195|-1.0|2.0|1306464004
3|2848|-1.0|5.0|1306471686
3|64010|-1.0|2.0|1306468930
3|46865|-1.0|2.0|1306468556
3|801|-1.0|4.0|1306470577
3|3287|-1.0|3.0|1306464540
3|8454|-1.0|1.0|1306472618
4|1895|4.0|2.0|1239970069
4|90245|-1.0|2.0|945631810
4|116985|-1.0|1.0|945637749
4|5873|-1.0|4.0|945632920
4|1972|-1.0|4.0|945637460
4|4638|-1.0|5.0|945637464
4|6753|-1.0|4.0|945635416
4|55555|-1.0|3.0|945636146
4|201|-1.0|1.0|945632530
4|3467|-1.0|3.0|945639021
4|3306|-1.0|3.0|945629579
5|592|3.0|5.0|906335471
5|296|5.0|2.0|912606240
5|110|4.0|2.0|997141800
5|474|4.0|1.0|903186601
5|515|3.0|2.0|869938789
5|367|4.0|5.0|955939109
5|344|3.0|5.0|1110168680
5|50|4.0|5.0|1090240524
